crop,feature,category,feature_value,ale_effect
CORN,TMAX_MAX,climate,32.9594,0.383
CORN,TMAX_MAX,climate,33.3551,2.913
CORN,TMAX_MAX,climate,33.7186,3.793
CORN,TMAX_MAX,climate,34.0185,4.277
CORN,TMAX_MAX,climate,34.2996,4.46
CORN,TMAX_MAX,climate,34.5782,4.102
CORN,TMAX_MAX,climate,34.8742,3.801
CORN,TMAX_MAX,climate,35.2005,3.467
CORN,TMAX_MAX,climate,35.5407,2.969
CORN,TMAX_MAX,climate,35.9132,2.828
CORN,TMAX_MAX,climate,36.3946,2.607
CORN,TMAX_MAX,climate,36.9892,2.028
CORN,TMAX_MAX,climate,37.7584,-1.052
CORN,TMAX_MAX,climate,38.6792,-3.707
CORN,TMAX_MAX,climate,39.5763,-4.383
CORN,TMAX_MAX,climate,40.6392,-5.584
CORN,TMAX_MAX,climate,41.7817,-5.686
CORN,TMAX_MAX,climate,43.9223,-7.394
CORN,TMAX_MAX,climate,47.9521,-7.009
CORN,bdod_mean,soil,1.2716,3.786
CORN,bdod_mean,soil,1.4562,5.23
CORN,bdod_mean,soil,1.4714,5.991
CORN,bdod_mean,soil,1.4827,5.651
CORN,bdod_mean,soil,1.4931,5.483
CORN,bdod_mean,soil,1.4983,5.471
CORN,bdod_mean,soil,1.5054,4.949
CORN,bdod_mean,soil,1.5106,5.001
CORN,bdod_mean,soil,1.5145,4.739
CORN,bdod_mean,soil,1.5194,4.132
CORN,bdod_mean,soil,1.5252,3.554
CORN,bdod_mean,soil,1.5312,2.741
CORN,bdod_mean,soil,1.5378,-0.054
CORN,bdod_mean,soil,1.5461,-4.357
CORN,bdod_mean,soil,1.5511,-4.315
CORN,bdod_mean,soil,1.5567,-6.856
CORN,bdod_mean,soil,1.5619,-6.691
CORN,bdod_mean,soil,1.5682,-6.699
CORN,bdod_mean,soil,1.58,-7.269
CORN,bdod_mean,soil,1.6038,-12.015
CORN,bdod_mean,soil,1.6574,-13.582
OATS,clay_mean,soil,11.7838,-10.487
OATS,clay_mean,soil,14.2198,-9.693
OATS,clay_mean,soil,15.2941,-9.163
OATS,clay_mean,soil,16.6767,-8.978
OATS,clay_mean,soil,19.0188,-3.217
OATS,clay_mean,soil,19.8246,-1.979
OATS,clay_mean,soil,20.8984,-0.733
OATS,clay_mean,soil,21.6263,-0.634
OATS,clay_mean,soil,22.6719,0.927
OATS,clay_mean,soil,23.193,1.458
OATS,clay_mean,soil,24.0798,1.658
OATS,clay_mean,soil,24.6408,2.373
OATS,clay_mean,soil,25.2627,2.57
OATS,clay_mean,soil,25.8783,2.546
OATS,clay_mean,soil,26.2515,4.853
OATS,clay_mean,soil,26.8129,4.636
OATS,clay_mean,soil,27.6947,4.093
OATS,clay_mean,soil,28.1627,4.332
OATS,clay_mean,soil,29.024,4.149
OATS,clay_mean,soil,30.2205,4.129
OATS,clay_mean,soil,40.7655,5.089
OATS,ph_mean,soil,5.4756,-2.483
OATS,ph_mean,soil,5.8799,-2.567
OATS,ph_mean,soil,6.0116,-2.552
OATS,ph_mean,soil,6.064,-2.073
OATS,ph_mean,soil,6.1305,-1.967
OATS,ph_mean,soil,6.1559,-0.949
OATS,ph_mean,soil,6.2005,-0.338
OATS,ph_mean,soil,6.2435,-0.384
OATS,ph_mean,soil,6.2896,0.722
OATS,ph_mean,soil,6.3492,0.621
OATS,ph_mean,soil,6.4374,0.539
OATS,ph_mean,soil,6.5213,1.15
OATS,ph_mean,soil,6.6289,1.426
OATS,ph_mean,soil,6.6933,1.713
OATS,ph_mean,soil,6.7848,2.135
OATS,ph_mean,soil,6.9279,2.457
OATS,ph_mean,soil,7.0481,1.354
OATS,ph_mean,soil,7.19,0.409
OATS,ph_mean,soil,7.2564,-0.047
OATS,ph_mean,soil,7.3122,-0.148
OATS,ph_mean,soil,7.6019,-0.332
OATS,soc_mean,soil,8.396,-7.535
OATS,soc_mean,soil,11.454,-7.115
OATS,soc_mean,soil,12.5487,-2.507
OATS,soc_mean,soil,13.4432,0.541
OATS,soc_mean,soil,14.0949,0.74
OATS,soc_mean,soil,14.7476,0.866
OATS,soc_mean,soil,15.4091,0.702
OATS,soc_mean,soil,16.3021,0.607
OATS,soc_mean,soil,17.113,0.596
OATS,soc_mean,soil,17.6326,0.773
OATS,soc_mean,soil,18.3221,1.5
OATS,soc_mean,soil,18.7575,1.598
OATS,soc_mean,soil,19.5015,1.742
OATS,soc_mean,soil,20.6569,1.7
OATS,soc_mean,soil,21.5264,0.324
OATS,soc_mean,soil,22.2268,0.353
OATS,soc_mean,soil,23.5867,0.474
OATS,soc_mean,soil,25.3202,0.148
OATS,soc_mean,soil,28.9766,0.518
OATS,soc_mean,soil,32.2409,0.395
OATS,soc_mean,soil,69.6261,-0.052
OATS,TMIN,climate,5.5632,-4.806
OATS,TMIN,climate,7.979,-3.093
OATS,TMIN,climate,8.6905,-2.086
OATS,TMIN,climate,9.1973,-0.965
OATS,TMIN,climate,9.6414,0.755
OATS,TMIN,climate,10.0212,0.782
OATS,TMIN,climate,10.3264,0.941
OATS,TMIN,climate,10.561,0.912
OATS,TMIN,climate,10.7942,0.904
OATS,TMIN,climate,11.0109,0.908
OATS,TMIN,climate,11.2601,1.085
OATS,TMIN,climate,11.4934,1.243
OATS,TMIN,climate,11.697,1.315
OATS,TMIN,climate,11.9333,1.157
OATS,TMIN,climate,12.1518,1.003
OATS,TMIN,climate,12.4007,0.462
OATS,TMIN,climate,12.6599,0.279
OATS,TMIN,climate,12.9337,-0.708
OATS,TMIN,climate,13.2194,-0.603
OATS,TMIN,climate,13.6566,-0.722
OATS,TMIN,climate,16.9236,-2.27
OATS,bdod_mean,soil,1.2716,-2.106
OATS,bdod_mean,soil,1.4064,-1.759
OATS,bdod_mean,soil,1.448,-1.289
OATS,bdod_mean,soil,1.4595,0.049
OATS,bdod_mean,soil,1.4671,0.716
OATS,bdod_mean,soil,1.4715,0.813
OATS,bdod_mean,soil,1.4773,0.442
OATS,bdod_mean,soil,1.4827,0.79
OATS,bdod_mean,soil,1.4871,0.716
OATS,bdod_mean,soil,1.4926,0.809
OATS,bdod_mean,soil,1.4955,0.884
OATS,bdod_mean,soil,1.4986,0.582
OATS,bdod_mean,soil,1.5035,0.595
OATS,bdod_mean,soil,1.5083,0.66
OATS,bdod_mean,soil,1.5111,0.733
OATS,bdod_mean,soil,1.5144,0.753
OATS,bdod_mean,soil,1.5176,0.385
OATS,bdod_mean,soil,1.5236,0.085
OATS,bdod_mean,soil,1.5312,-0.909
OATS,bdod_mean,soil,1.5511,-2.136
OATS,bdod_mean,soil,1.6404,-3.755
SORGHUM,VPD,climate,0.7505,5.098
SORGHUM,VPD,climate,0.8841,4.734
SORGHUM,VPD,climate,0.9353,5.095
SORGHUM,VPD,climate,0.9801,5.31
SORGHUM,VPD,climate,1.0369,5.043
SORGHUM,VPD,climate,1.0861,5.123
SORGHUM,VPD,climate,1.1276,4.511
SORGHUM,VPD,climate,1.1755,4.311
SORGHUM,VPD,climate,1.2275,4.413
SORGHUM,VPD,climate,1.2655,4.294
SORGHUM,VPD,climate,1.3184,3.858
SORGHUM,VPD,climate,1.3661,3.038
SORGHUM,VPD,climate,1.4141,2.543
SORGHUM,VPD,climate,1.4594,0.597
SORGHUM,VPD,climate,1.5052,-0.623
SORGHUM,VPD,climate,1.5617,-0.703
SORGHUM,VPD,climate,1.6419,-3.716
SORGHUM,VPD,climate,1.7829,-8.59
SORGHUM,VPD,climate,2.0099,-10.341
SORGHUM,VPD,climate,2.1354,-20.461
SORGHUM,VPD,climate,2.5658,-21.659
SORGHUM,PRCP,climate,0.7226,-6.759
SORGHUM,PRCP,climate,1.4912,-6.003
SORGHUM,PRCP,climate,1.7554,-5.01
SORGHUM,PRCP,climate,1.9376,-3.247
SORGHUM,PRCP,climate,2.1251,-0.134
SORGHUM,PRCP,climate,2.2545,0.46
SORGHUM,PRCP,climate,2.4113,0.66
SORGHUM,PRCP,climate,2.5429,0.697
SORGHUM,PRCP,climate,2.6541,1.622
SORGHUM,PRCP,climate,2.7528,1.904
SORGHUM,PRCP,climate,2.8591,2.264
SORGHUM,PRCP,climate,2.9926,2.565
SORGHUM,PRCP,climate,3.1188,2.789
SORGHUM,PRCP,climate,3.254,3.05
SORGHUM,PRCP,climate,3.3997,3.08
SORGHUM,PRCP,climate,3.5502,2.927
SORGHUM,PRCP,climate,3.7475,1.294
SORGHUM,PRCP,climate,4.0251,-0.4
SORGHUM,PRCP,climate,4.3177,-1.253
SORGHUM,PRCP,climate,4.8121,-2.506
SORGHUM,PRCP,climate,7.0241,-2.561
SORGHUM,GDD_TMAX,climate,12.9126,0.553
SORGHUM,GDD_TMAX,climate,14.2937,3.372
SORGHUM,GDD_TMAX,climate,14.5881,4.005
SORGHUM,GDD_TMAX,climate,14.8685,4.325
SORGHUM,GDD_TMAX,climate,15.0211,3.388
SORGHUM,GDD_TMAX,climate,15.2089,3.206
SORGHUM,GDD_TMAX,climate,15.3447,2.732
SORGHUM,GDD_TMAX,climate,15.4746,0.981
SORGHUM,GDD_TMAX,climate,15.5834,0.801
SORGHUM,GDD_TMAX,climate,15.7012,-0.246
SORGHUM,GDD_TMAX,climate,15.8236,-1.737
SORGHUM,GDD_TMAX,climate,15.9222,-1.73
SORGHUM,GDD_TMAX,climate,16.0318,-1.395
SORGHUM,GDD_TMAX,climate,16.1159,-1.431
SORGHUM,GDD_TMAX,climate,16.1955,-1.699
SORGHUM,GDD_TMAX,climate,16.2981,-2.073
SORGHUM,GDD_TMAX,climate,16.4259,-2.172
SORGHUM,GDD_TMAX,climate,16.604,-2.921
SORGHUM,GDD_TMAX,climate,16.8475,-3.213
SORGHUM,GDD_TMAX,climate,17.1855,-3.148
SORGHUM,GDD_TMAX,climate,17.759,-2.642
SORGHUM,TMIN,climate,7.9177,-11.077
SORGHUM,TMIN,climate,10.5915,-8.268
SORGHUM,TMIN,climate,11.0984,-1.575
SORGHUM,TMIN,climate,11.567,1.672
SORGHUM,TMIN,climate,12.0423,2.205
SORGHUM,TMIN,climate,12.3758,3.025
SORGHUM,TMIN,climate,12.6607,3.58
SORGHUM,TMIN,climate,12.9812,3.839
SORGHUM,TMIN,climate,13.2386,3.756
SORGHUM,TMIN,climate,13.5164,3.439
SORGHUM,TMIN,climate,13.7668,2.686
SORGHUM,TMIN,climate,13.9931,1.502
SORGHUM,TMIN,climate,14.264,1.586
SORGHUM,TMIN,climate,14.4852,1.326
SORGHUM,TMIN,climate,14.731,0.412
SORGHUM,TMIN,climate,14.96,-0.145
SORGHUM,TMIN,climate,15.2366,-0.575
SORGHUM,TMIN,climate,15.6036,-1.476
SORGHUM,TMIN,climate,15.9946,-3.08
SORGHUM,TMIN,climate,16.5161,-5.404
SORGHUM,TMIN,climate,18.5175,-5.634
SORGHUM,SRAD,climate,232.6971,1.917
SORGHUM,SRAD,climate,241.4576,1.986
SORGHUM,SRAD,climate,244.7647,1.317
SORGHUM,SRAD,climate,246.7102,0.783
SORGHUM,SRAD,climate,248.5769,0.768
SORGHUM,SRAD,climate,249.8227,0.549
SORGHUM,SRAD,climate,251.4272,0.746
SORGHUM,SRAD,climate,252.7214,0.876
SORGHUM,SRAD,climate,254.0278,0.664
SORGHUM,SRAD,climate,255.436,-0.21
SORGHUM,SRAD,climate,257.0551,-0.752
SORGHUM,SRAD,climate,258.5874,-0.684
SORGHUM,SRAD,climate,259.7779,-0.965
SORGHUM,SRAD,climate,261.4965,-0.859
SORGHUM,SRAD,climate,263.1684,-0.737
SORGHUM,SRAD,climate,264.8546,-0.989
SORGHUM,SRAD,climate,266.797,-0.978
SORGHUM,SRAD,climate,269.0288,-0.978
SORGHUM,SRAD,climate,271.6158,-0.81
SORGHUM,SRAD,climate,275.0892,-0.732
SORGHUM,SRAD,climate,285.2983,0.055
SOYBEANS,ph_mean,soil,5.4756,-2.116
SOYBEANS,ph_mean,soil,5.8701,-1.239
SOYBEANS,ph_mean,soil,5.9583,-0.362
SOYBEANS,ph_mean,soil,6.0053,0.826
SOYBEANS,ph_mean,soil,6.046,1.184
SOYBEANS,ph_mean,soil,6.0977,1.238
SOYBEANS,ph_mean,soil,6.146,1.402
SOYBEANS,ph_mean,soil,6.1808,1.478
SOYBEANS,ph_mean,soil,6.2239,1.26
SOYBEANS,ph_mean,soil,6.2754,1.152
SOYBEANS,ph_mean,soil,6.3273,1.034
SOYBEANS,ph_mean,soil,6.3986,1.016
SOYBEANS,ph_mean,soil,6.5002,0.951
SOYBEANS,ph_mean,soil,6.584,1.055
SOYBEANS,ph_mean,soil,6.6648,1.15
SOYBEANS,ph_mean,soil,6.7495,1.023
SOYBEANS,ph_mean,soil,6.862,0.634
SOYBEANS,ph_mean,soil,7.0323,-3.075
SOYBEANS,ph_mean,soil,7.1663,-4.112
SOYBEANS,ph_mean,soil,7.2884,-4.173
SOYBEANS,ph_mean,soil,7.774,-2.797
SOYBEANS,bdod_mean,soil,1.2716,0.931
SOYBEANS,bdod_mean,soil,1.4529,1.253
SOYBEANS,bdod_mean,soil,1.4697,1.719
SOYBEANS,bdod_mean,soil,1.4827,1.94
SOYBEANS,bdod_mean,soil,1.4939,1.927
SOYBEANS,bdod_mean,soil,1.4999,1.86
SOYBEANS,bdod_mean,soil,1.5072,1.795
SOYBEANS,bdod_mean,soil,1.5117,1.802
SOYBEANS,bdod_mean,soil,1.5159,1.768
SOYBEANS,bdod_mean,soil,1.5209,1.742
SOYBEANS,bdod_mean,soil,1.5281,1.522
SOYBEANS,bdod_mean,soil,1.5329,1.017
SOYBEANS,bdod_mean,soil,1.5417,0.369
SOYBEANS,bdod_mean,soil,1.5481,-1.177
SOYBEANS,bdod_mean,soil,1.5538,-1.316
SOYBEANS,bdod_mean,soil,1.559,-1.912
SOYBEANS,bdod_mean,soil,1.5631,-2.034
SOYBEANS,bdod_mean,soil,1.571,-2.067
SOYBEANS,bdod_mean,soil,1.5838,-3.652
SOYBEANS,bdod_mean,soil,1.6086,-4.606
SOYBEANS,bdod_mean,soil,1.6574,-4.918
SOYBEANS,clay_mean,soil,12.3633,-2.637
SOYBEANS,clay_mean,soil,16.6767,-1.147
SOYBEANS,clay_mean,soil,19.443,-0.11
SOYBEANS,clay_mean,soil,20.5899,-0.086
SOYBEANS,clay_mean,soil,21.1053,0.516
SOYBEANS,clay_mean,soil,21.6286,0.728
SOYBEANS,clay_mean,soil,22.1849,0.725
SOYBEANS,clay_mean,soil,22.9741,0.781
SOYBEANS,clay_mean,soil,23.4118,0.936
SOYBEANS,clay_mean,soil,24.0285,0.895
SOYBEANS,clay_mean,soil,24.5358,0.392
SOYBEANS,clay_mean,soil,24.9939,0.394
SOYBEANS,clay_mean,soil,25.5203,0.304
SOYBEANS,clay_mean,soil,26.1265,0.251
SOYBEANS,clay_mean,soil,26.7234,0.229
SOYBEANS,clay_mean,soil,27.4002,-0.002
SOYBEANS,clay_mean,soil,28.0682,-0.241
SOYBEANS,clay_mean,soil,29.0028,-0.649
SOYBEANS,clay_mean,soil,29.7745,-0.856
SOYBEANS,clay_mean,soil,30.5647,-1.082
SOYBEANS,clay_mean,soil,40.7655,-1.282
SOYBEANS,TMIN,climate,5.5632,-10.676
SOYBEANS,TMIN,climate,9.0487,-4.931
SOYBEANS,TMIN,climate,10.0544,-1.979
SOYBEANS,TMIN,climate,10.6517,-0.174
SOYBEANS,TMIN,climate,11.0934,0.208
SOYBEANS,TMIN,climate,11.4873,0.556
SOYBEANS,TMIN,climate,11.7963,0.824
SOYBEANS,TMIN,climate,12.0741,0.924
SOYBEANS,TMIN,climate,12.3235,1.011
SOYBEANS,TMIN,climate,12.5687,1.054
SOYBEANS,TMIN,climate,12.8074,1.096
SOYBEANS,TMIN,climate,13.0466,1.152
SOYBEANS,TMIN,climate,13.2569,1.234
SOYBEANS,TMIN,climate,13.497,1.239
SOYBEANS,TMIN,climate,13.7409,1.067
SOYBEANS,TMIN,climate,14.0571,0.831
SOYBEANS,TMIN,climate,14.4064,0.548
SOYBEANS,TMIN,climate,14.7584,0.37
SOYBEANS,TMIN,climate,15.2131,0.286
SOYBEANS,TMIN,climate,15.8502,0.11
SOYBEANS,TMIN,climate,18.6808,-0.165
SOYBEANS,TMAX_MAX,climate,29.1816,-0.996
SOYBEANS,TMAX_MAX,climate,32.367,-0.072
SOYBEANS,TMAX_MAX,climate,32.9397,0.86
SOYBEANS,TMAX_MAX,climate,33.3279,1.134
SOYBEANS,TMAX_MAX,climate,33.6813,1.156
SOYBEANS,TMAX_MAX,climate,33.9806,1.207
SOYBEANS,TMAX_MAX,climate,34.2437,1.142
SOYBEANS,TMAX_MAX,climate,34.5134,0.981
SOYBEANS,TMAX_MAX,climate,34.7985,0.603
SOYBEANS,TMAX_MAX,climate,35.1093,0.4
SOYBEANS,TMAX_MAX,climate,35.4435,0.469
SOYBEANS,TMAX_MAX,climate,35.7933,0.468
SOYBEANS,TMAX_MAX,climate,36.2282,0.406
SOYBEANS,TMAX_MAX,climate,36.7955,0.33
SOYBEANS,TMAX_MAX,climate,37.5407,0.013
SOYBEANS,TMAX_MAX,climate,38.4889,-0.699
SOYBEANS,TMAX_MAX,climate,39.4935,-1.503
SOYBEANS,TMAX_MAX,climate,40.6845,-1.978
SOYBEANS,TMAX_MAX,climate,41.9077,-1.777
SOYBEANS,TMAX_MAX,climate,44.025,-1.95
SOYBEANS,TMAX_MAX,climate,47.9521,-1.381
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,10.3355,-8.617
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,11.9044,-7.86
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,12.5251,-7.054
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,13.6773,-2.305
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,15.0807,-1.464
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,16.6385,-1.381
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,19.0518,-0.977
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,20.3024,-0.058
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,21.0377,0.726
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,21.4245,0.584
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,21.7541,1.794
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,22.2552,1.751
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,22.7534,1.916
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,23.342,2.137
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,24.4276,2.221
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,25.8654,2.726
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,27.5964,2.821
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,29.1822,2.837
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,32.7038,2.809
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,36.4138,2.778
WHEAT_SPRING_EXCL_DURUM,soc_mean,soil,69.6261,2.604
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,5.5632,-5.314
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,7.0258,-4.206
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,7.3759,-4.11
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,7.7161,-3.61
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,8.0417,-2.981
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,8.3239,-2.237
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,8.6679,-1.001
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,8.9352,-0.225
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,9.1692,0.758
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,9.4847,1.429
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,9.7455,1.825
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,10.0385,1.986
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,10.2933,2.095
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,10.5827,2.063
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,10.9797,1.996
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,11.4595,2.075
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,12.0006,2.021
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,12.4921,1.914
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,12.8581,1.728
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,13.2385,1.388
WHEAT_SPRING_EXCL_DURUM,TMIN,climate,14.7796,-0.419
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.0423,2.754
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.1035,2.83
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.1412,2.738
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.1682,2.779
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.198,2.657
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.2219,2.249
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.2455,2.114
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.2781,1.917
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.3127,1.784
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.3552,1.311
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.3994,1.121
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.448,0.746
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.5171,-1.126
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.5965,-2.094
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.7027,-2.386
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.8083,-2.548
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,0.9816,-3.51
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,1.2219,-3.46
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,1.5185,-3.464
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,1.8968,-3.36
WHEAT_SPRING_EXCL_DURUM,EDD_TMAX,climate,3.7298,-3.325
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,30.8708,2.573
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,32.4634,2.199
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,32.9512,2.302
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,33.4136,2.098
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,33.7805,1.921
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,34.0338,1.856
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,34.2378,1.784
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,34.5352,1.714
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,34.7929,1.555
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,35.0546,1.222
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,35.3882,1.208
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,35.7525,1.019
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,36.105,-0.603
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,36.571,-1.02
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,37.3133,-1.327
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,38.2894,-1.733
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,39.0517,-2.175
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,39.7364,-2.602
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,40.5969,-3.55
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,41.4568,-4.509
WHEAT_SPRING_EXCL_DURUM,TMAX_MAX,climate,43.5241,-5.233
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,13.1982,-2.883
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,18.6839,-1.737
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,21.6231,-1.286
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,23.085,-1.218
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,24.4613,-0.993
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,24.9939,-0.916
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,25.4766,-0.781
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,25.7338,-0.227
WHEAT_SPRING_EXCL_DURUM,clay_mean,soil,26.0882,-0.191
